Handle;Title;Description;Created;Updated;Vendor;Product Type;Tags;Max price;Min price;Variant 1;Variant 1 price;Variant 1 price to compare;Variant 1 Featured Image URL;Variant 2;Variant 2 price;Variant 2 price to compare;Variant 2 Featured Image URL;Variant 3;Variant 3 price;Variant 3 price to compare;Variant 3 Featured Image URL;Variant 4;Variant 4 price;Variant 4 price to compare;Variant 4 Featured Image URL;Variant 5;Variant 5 price;Variant 5 price to compare;Variant 5 Featured Image URL;Image 1 URL;Image 2 URL;Image 3 URL;Image 4 URL;Image 5 URL;Image 6 URL;Image 7 URL;Image 8 URL;Image 9 URL;Image 10 URL;Option 1;Option 2;Option 3
ubtech-jimu-explorer-robot-kit;Ubtech Jimu Explorer Robot Kit;"This Explorer Kit is the perfect starter kit with 5 pre-designed characters. It includes 7 servos and 372 pieces so you can use your imagination to create new codeable creatures and robots. Build the BabyBot, T-Rex, Walrus, Parrot and more…Jimu means 'building blocks' in Mandarin. It is an interactive system of robotic building blocks.
The Jimu Robot Explorer Kit is a DIY, Bluetooth app-enabled robotics building kit. The Explorer Kit includes a central control unit, 7 highly accurate digital servo motors, servo connector wires, lithium battery pack and power adapter, 372 interlocking parts with easy snap-in design and quick links to the Jimu App and quick start guides. The Jimu Robot Explorer Kit is a great way to get started in building and programming advanced robots today.";2021/11/08;2022/12/19;UBTECH;;"Black Friday
ubtech
Wifi";2499;2499;Default Title;2499;3899;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/explorer.png?v=1636381835;;;;;;;;;;Title (Default Title);;
ms01-sonoff-moisture-sensor;MS01 Sonoff Moisture Sensor;"







";2021/11/06;2022/12/14;Sonoff;Environmental Sensor;"Accessory
Ewelink
IP55
Moisture Sensor
new
Sensor
Smart Home
Sonoff
Sonoff TH16
Works with Alexa
Works with Google Home";255;255;Default Title;255;269;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ms01-1.jpg?v=1636184270;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ms01-2.jpg?v=1636184271;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ms01-3.jpg?v=1636184270;;;;;;;;Title (Default Title);;
curtain-remote-controller-be301-with-holder;Curtain Remote Controller BE301 with Holder;;2021/05/24;2022/09/27;EACHEN;Remote;"Accessory
Ewelink
Remote
Smart Curtain
Smart Home";139;139;Default Title;139;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;Title (Default Title);;
3m-cable-float-level-switch-for-pool-water-system-submersible-float-switch;3m cable float level switch for pool water system, submersible float switch;"cable float level switch

Cable float level swtich uses one-step shaping injection molding with substantial structure, cheap price and long lifetime. It has very good control effect for long distance, multiple level control, submerged pump or liquid with grain or block.";2021/05/24;2022/09/27;E7WIN;Electronics;"Development
Electronics DIY
Sensor
Smart Home";149;149;Default Title;149;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/board_47a7456a-7711-4afc-9914-e8aa9feeec17.png?v=1621882935;;;;;;;;;;Title (Default Title);;
smart-touch-switch-universal-zigbee-wall-touch-smart-light-switch;Smart Touch Switch Universal ZigBee Wall Touch Smart Light Switch (Works with or without Neutral wire);"Smart Touch Switch Single Fire Wire Switch Remote Control Switched Unit With Universal ZigBee Wall Touch Smart Light Switch
Works with Sonoff Zigbee Bridge and Smartlife Bridge.
 Without a Neutral Wire you must install the capacitor
Power supply: AC 110-240V
Maximum current: 10A / road
Maximum power: 500W / road
Wireless standard: 802.11 b/g/n
Size:120*72*32mm

Security mechanism: WPA-PSK/WPA2-PSK
Product material: PC V0 fireproof + tempered glass panel
WIFI remote control: turn the light on/off from anywhere
App Support: Free iOS and Android Phone Apps (Smart Life)
Voice Control: with Amazon Alexa, Google Home Voice Control
Independent control: control each way separately
Synchronization status: real-time device status provided on the APP
Timing function: Set the reservation/countdown timer to turn on/off at the specified time
Special Reminder:
1. This switch Single Fire Wire Without neutral line
2. The installation switch must not be operated with power or must be operated by professionals.
 

";2021/10/20;2022/12/19;Zigbee;Smart Light Switch;"Ewelink
Smart Home
Smart Light Switch
SmartLife
Wifi
Works with Alexa
Works with Google Home
zigbee";509;419;1 Gang;419;355;;2 Gang;449;370;;3 Gang;479;405;;4 Gang;509;435;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZigbeeLSwitch.png?v=1634730534;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZigbeeLSwitch2.png?v=1634730534;;;;;;;;;Gangs (1 Gang, 2 Gang, 3 Gang, 4 Gang);;
homekit-box;Homekit Box;"HomeBridge is a lightweight NodeJS server you can run on your home network that emulates the iOS HomeKit API. It supports Plugins, which are community-contributed modules that provide a basic bridge from HomeKit to various 3rd-party APIs provided by manufacturers of ""smart home"" devices.
This is a complete unit that allows you to bring items from Ewelink, Smart Life, Tuya and other popular smart home apps into Apple HomeKit. Take control through one app and set times and control your home fully. The unit plugs into the ethernet port of your router within your home and then you can log into the device and load some details and this will then bring through your devices from Ewelink, Smart Life, Tuya into HomeKit.
There is a simple website to log into to make changes and log into the plugin and add in additional Plugins if needed. From time to time the plugins do require an update and this can all be managed from the simple website
You can even use Siri to do the commands through your apple watch, iPhone, iPad, HomePod or Siri remote.
Add on devices sold through Eiferer for items like taking control of your Electric Gate or Garage Motor and Siri can action all while you are driving to your property. You have the ability to add in IP cameras too that will pull through to HomeKit so now you can control your home and check on  your cameras too. All items sold on Eiferer like Sonoff, Tuya/SmartLife, Eachen, Shelly, Broadlink all will work in HomeKit.
The only requirement for all to operate is a HomePod, Apple TV 4th Gen and above or iPad. This is the hub/gateway for all to operate your home when you not home.





Processor                                                  



– Broadcom BCM2837B0 64bit SoC ARM Cortex-A53 Quad Core





Clock Speed



– 1.4GHz





RAM



– 1GB LPDDR2 SDRAM





Storage



– microSD Card Port





GPIO Header



– Expanded 40-pin  (2 x 20 strip)





USB Ports



– 4 x USB2.0 Ports  (300Mbps Speeds)





GFX Architecture



– Dual Core VideoCore IV® Multimedia Co-Processor @ 400MHz/300MHz





Video/Audio Out



– 4-pole 3.5mm Analog Audio/Composite Video Port




 


– Full-sized HDMI 1.3a Port




 


– Raw LCD Port  (MIPI DSI)





Video Input



– MIPI CSI  (Fits the Common RPi Camera Ribbon Cable)





Ethernet



– Gigabit Ethernet (Limited to 300Mbps via USB 2.0)





WiFi



– 2.4GHz and 5GHz IEEE 802.11.b/g/n/ac





Bluetooth



– Bluetooth 4.2, BLE





Power Requirements



– 5V DC @ 2.5A via microUSB / 5V DC via GPIO Header / PoE via HAT





Low-Level Peripherals



– 27 x GPIO




 


– UART




 


– I2C bus




 


– SPI bus with Two Chip Selects





Firmware Support






 
Setup instructions";2021/10/12;2022/12/05;Eiferer_ZA;;"Apple Home Bridge
apple homekit
Raspberry Pi
Wifi
Works with Alexa
Works with Google Home";2750;2750;Default Title;2750;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/homekit.png?v=1634047502;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/homekit_788d1fd4-ecea-4a0e-af10-21cdd92c62f0.png?v=1650870517;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/1.png?v=1650870517;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/2.png?v=1650870517;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Screenshot2022-06-16at08.41.33.png?v=1655447241;;;;;;Title (Default Title);;
capacitor;Eachen Capacitor;Eachen Capacitor;2021/10/12;2022/10/13;Eiferer_ZA;;;10;10;Default Title;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Title (Default Title);;
switchbot-smart-switch-button;SwitchBot Smart Switch Button;"


Universal - Works well with just about any rocker switch and button of any appliance. Smart button pusher for your smart home. Supports Press mode/Switch mode. With the included Add-on sticker, switch mode helps to turn your light on/off.
Easy to install and set up - Tape it right next to a rocker switch or button with a 3M sticker in 5 seconds. No swapping, no tools are required. Easy App operation. 600 days long battery life.
Even better with SwitchBot Hub - With SwitchBot Hub Plus/Mini (only support 2.4GHz Wi-Fi), you can control your SwitchBot remotely from anywhere and enable voice control. Works well with Amazon Alexa, Google Assistant, Siri and IFTTT.
Timers - Use the SwitchBot App to schedule built-in timers, run without phone or Hub. Turn lights or home appliances on/off automatically even when you’re away. Free your hands.
SwitchBot Ecosystem - Linkage with other SwitchBot products is possible. Open SwichBot devices in set Scenes via App. Supports SwitchBot API.












Product Specifications







Color
Midnight Black


Ean
0860038001710


Item Weight
1.38 ounces


Model Number
SWITCHBOT-S1


Operation Mode
ON-OFF-ON


Part Number
SWITCHBOT-S1


Switch Type
Rocker Switch


UNSPSC Code
39122200



 
















Automate with Schedule


Place it on a coffee machine or light switch and set a schedule to automatically turn it on or off.

















 

















 

















 









Next page






     












Even better with SwitchBot Hub Mini
Enjoy voice control
Just say the words. With a SwitchBot Hub Mini(sold separately), the Bots can be voice-controlled by Alexa, Google Assistant, Siri, and SmartThings. Enjoy the hands-free experience by saying ""Alexa, turn off the light"", ""Hey Google, a cup of coffee please"", or ""Hey Siri, open the garage door"".






More control methods




Control via SwitchBot App


By adding the SwitchBot Hub Mini (sold separately), you can control your Bot when you 1000 miles away from home!





SwitchBot Remote (sold separately)


No need to operate your phone & voice control, just push the SwitchBot Remote button to turn off the light.









Need SwitchBot Hub Mini(sold separately)
More fun with the SwitchBot ecosystem
For example, you can schedule a morning routine to turn on lights, TV, and your coffee maker every morning on working days. With the Scene feature*, you could set specific and unlimited timers to the Bot. (*SwitchBot Hub Plus/Mini required)










";2021/10/07;2022/12/19;Switch-bot;Smart Switch;"Black Friday
Eachen
Smart Home
Switchbot
Wifi
Works with Alexa
Works with Google Home";409;409;White;409;649;;Black;409;649;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Switchbot.png?v=1633606124;;;;;;;;;;Color (White, Black);;
eachen-wifi-smart-touch-switch-l-rf-us-gold-no-neutral-required-ewelink-app;EACHEN WiFi Smart Touch Switch-L-RF-US - Gold (NO NEUTRAL REQUIRED) (EWelink APP);* Works without Neutral line!* Replace your traditional wall switch directly.* The capacitance must be installed as shown below, capacitance is included in package.;2021/05/24;2022/12/19;EACHEN;Smart Light Switch;"Ewelink
Smart Home
Smart Light Switch
Wifi
Works with Alexa
Works with Google Home";445;355;1 Gang;355;375;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/GOLD_1.jpg?v=1628761650;2 Gang;385;375;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/GOLD_2.jpg?v=1628761650;3 Gang;415;405;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/image_png_1602358238.png?v=1656315435;4 Gang;445;445;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Gold_4.jpg?v=1628761650;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/image_png_1602358238.png?v=1656315435;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/GOLD_1.jpg?v=1628761650;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/GOLD_2.jpg?v=1628761650;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Gold_4.jpg?v=1628761650;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Untitled_ede915c7-b75a-4c8f-abb0-ee167c1e1603.jpg?v=1628761650;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-4_6d9c89ac-2d52-43f8-9ae0-d89080030f13.jpg?v=1628761650;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-3_2b56a0df-c51b-442e-807b-866ce43131b0.jpg?v=1628761650;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-2_1d7cd174-5c15-42ff-a505-2f7ff0e6bd35.jpg?v=1628761650;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-1_5f4d63b5-0628-410a-94f8-8d0e900f93a1.jpg?v=1628761650;;Gangs (1 Gang, 2 Gang, 3 Gang, 4 Gang);;
eachen-wifi-smart-touch-switch-l-rf-us-black-no-neutral-required-ewelink-app;EACHEN WiFi Smart Touch Switch-L-RF-US - Black (NO NEUTRAL REQUIRED) (EWelink APP);* Works without Neutral line!* Replace your traditional wall switch directly.* The capacitance must be installed as shown below, capacitance is included in package.;2021/05/24;2022/12/19;EACHEN;Smart Light Switch;"Ewelink
Smart Home
Smart Light Switch
Wifi
Works with Alexa
Works with Google Home";485;375;1 Gang;375;375;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Black_1.jpg?v=1628761584;2 Gang;405;405;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Black_2.jpg?v=1628761584;3 Gang;435;435;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/image_png1063064691.png?v=1656315399;4 Gang;485;485;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Black_4.jpg?v=1628761584;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/image_png1063064691.png?v=1656315399;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Black_1.jpg?v=1628761584;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Black_2.jpg?v=1628761584;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Black_4.jpg?v=1628761584;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Untitled_185553be-340d-48f8-9a5c-9c4fc8819bb9.jpg?v=1628761584;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-4_5c9f5dda-560b-4448-aae7-61d2ec00443c.jpg?v=1628761584;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-3_dc59950c-d206-4662-9963-fe3b1490cef0.jpg?v=1628761584;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-2_2541d778-ea5e-4cf3-ac87-e3c93381d4d0.jpg?v=1628761584;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EWELOnly-1_03e9f7ac-8f1c-488e-b853-3870e500a2bb.jpg?v=1628761584;;Gangs (1 Gang, 2 Gang, 3 Gang, 4 Gang);;
smartlife-smart-plug;SmartLife Smart Plug (ASP);"Smartlife Plug is an energy monitoring, scheduling and control switch with load management and automation capability.  The Smartlife App enables the user to configure the ASP to react to current, voltage, time, power and many other variables or a combination thereof. Can be used to remotely control appliances, lights, etc.


Wi-Fi enabled


Scheduled energy management


Energy monitoring


Automation and IoT


Device automation sharing


CBI Home App and more


Features

Wi-Fi enabled (2.4 GHz only) with an internet connection
Energy monitoring
Energy control
Application controlled (CBI Home App)
Custom automation and custom scenarios
Multiple ON / OFF programs
Manual bypass with ON / OFF switch (Power Button)
Scheduling function - weekday / hour / minute
No hub required

Applications

Automation and IoT
Residential
Commercial
Light industrial
Home / office automation
Appliances
Lights
And more

Requirements

2.4 GHz Wi-Fi with an internet connection
Smartphone or Tablet

Approvals

SANS 164
ICASA
";2021/08/10;2022/12/19;Smartlife;Smart Switch;"energy monitoring
Power Monitoring
Smart Home
SmartLife
Tuya/Smart Life
Wall Plug
Wifi
Works with Alexa
Works with Google Home";699;699;Default Title;699;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/wallplug.png?v=1628615614;;;;;;;;;;Title (Default Title);;
iot-smart-wifi-plug-with-power-meter;IoT Smart WiFi Plug – with Power Meter;"
Works with Amazon Alexa and Google Home
Remote Control via Free Smart Phone App
No hub required, Support 2.4GHz Wi-Fi Networks
Setting Timer and On/Off Scheduling
Monitoring Power Usage
Group Controlling BNETA IoT products (Bulbs and Power Plugs)
Sharing Access
16A, 230V AC, 3680W
The Smart Way to Control Your Home and Business.
BNETA IoT Smart Wi-Fi Plug allows you to create customized schedules for your appliances so that they run on your schedule. You’ll find that automating your devices will help streamline your daily routine for a more efficient household.
*Working with Amazon Alexa and Google Home,  simply order to Alexa and Google to turn on and off your lightings.
(*Available via “Smart Life” service from Alexa and Google Home)


Free BNETA IoT App allows to easily control  (Compatible with previous iO.e app)

Switching On or Off
Setting Timer and On/Off Scheduling
Monitoring Power Usage
Group Controlling BNETA IoT products (Bulbs and Power Plugs)
Sharing Access


Installation can be easily done with three steps.

Specifications:

Model : IO-WIFI-Plug-SA
Max. Load : 16A 230V AC 3680W
Size : 54 x 78 x 101mm
Warranty : 1 year

System Requirements:

WiFi router with 2.4Hz WiFi networks IEEE 802.11 B/G/N
iPhone, ipad (IOS 7.0 or higher) or Android 4.0 or higher
io.e App available on App Store and Google Play
Remote control with Wi-Fi /3G / 4G
Voice control (works with Amazon Echo and Google Home)
For Indoors Dry Location Use Only



";2021/08/10;2022/12/19;Bneta;Smart Plug;"Smart Home
Smart Lighting
SmartLife
Tuya Smart Life
Wifi
Works with Alexa
Works with Google Home";365;365;Default Title;365;365;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/bnetaplug.png?v=1628613017;;;;;;;;;;Title (Default Title);;
eachen-wifi-zigbee-bridge;Ewelink (Ethernet or Wifi)/Zigbee bridge;"EWelink Zigbee Bridge Pro version. No delay and Offline!
1. Add 120+ sub devices
2. 200M+ coverage range
3. ESP32 CPU: Dual core/240MHz/Ethernet connection
  ";2021/08/03;2022/12/16;Eachen;Smart Bridge;"Eachen
Ewelink
Sensor
Smart Bridge
Smart Home
Works with Alexa
Works with Google Home
zigbee";399;399;Default Title;399;639;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/EachZBridge.png?v=1627970358;;;;;;;;;;Title (Default Title);;
sonoff-pow-r3;Sonoff Pow R3;"25A/5500W Highest Output Power?POWR3 has the highest output power to make your high-powered devices smart, or as a single room-meter to measure power consumption.?Measuring Power Consumption?Keep track of active power, current and voltage of your appliances on App?Overload protection?Once an abnormality was detected, the power will be cut off to avoid device damage and danger.?One-tap switch on/off remotely?POWR3 can cut off power wherever you are that can ensure the safety of your appliances and save on hidden electricity bills?Voice Control?Compatible with Amazon Alexa, Google Assistant, SmartThings, and Alice. Just speak out your command, the smart device can do on/off as you say
 














 

More Information


Product Type
Wi-Fi Smart Switch


Electrical Rating
100-240V AC


MCU
ESP8266


Switch Channel
Single


Max Load
25A/5500W


Wireless Connectivity
Wi-Fi IEEE 802.11b/g/n 2.4GHz


RF 433MHz
No


Works With
Amazon Alexa, Google Assistant, Samsung Smarthings, Yandex Alice


DIY Mode
No


";2021/07/29;2022/12/19;Sonoff;Smart Switch;"Circuit Breaker
Ewelink
POW
Power Monitoring
relay
Smart Home
Smart Switch
Sonoff
Wifi
Works with Alexa
Works with Google Home";895;895;Default Title;895;1199;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/image_png813301313.png?v=1656330380;;;;;;;;;;Title (Default Title);;
shelly-2-5;SHELLY 2.5;"We developed Shelly 2.5 to have a maximum load of 2 x 2,300w or 2 x 10A.
An Independent dual power metering for each channel allows you to monitor the status and history, as well as the current and past electrical consumption.
Control any 110-230v roller shutter, motorised curtain or awning.
With a Shelly 2.5 you can open or close your garage door with a single tap, or even with your voice.
Controlling roller shutters, garage doors, barriers or any bi-directional motor has never been easier.
Smaller than two cookies stacked together, a Shelly 2.5 can fit anywhere, under the existing wall console even if there are a lot of cables. It’s 30% smaller than a Shelly 1PM and 5% smaller than Shelly.

Features:



Power supply:
- 110-230V ±10% 50/60Hz AC



- 4-60V DC






Max load per channel:
- 10A/230V, 50/60Hz






Working temperature:
- – 40°C up to 40°C






Radio signal power:
- 1mW






Radio protocol:
- Wi-Fi 802.11 b/g/n






Frequency:
- 2400 – 2500 MHz






Operational range (depending on local construction):
- Up to 50 m outdoors



- Up to 30 m indoors






Dimensions (HxWxL):
– 39 x 36 x 17 mm






Electrical consumption:
– <1 W



Benefits:



Wireless - No HUB required – Connect Shelly 2.5 directly to your Wi-Fi at home.

Control remotely - Control the lighting at home, no matter where you are.

Highly compatible - Compatible with Android, iOS, Amazon Alexa and Google Assistant. Control your appliance with your voice.

Wide range of voltage support - Shelly 2.5 can be used to control a wide range of devices and appliances.

Sunrise/Sunset schedules - Shelly 2.5 can automatically follow the sunrise and sunset and control your lighting accordingly.

Weekly schedules - Choose a time and set your lighting to turn on/off.

Overheating protection - Internal temperature sensor for overheating protection.

Dual power metering - Two integrated precise power meters that allow you to measure the consumption for each channel separately.

";2021/07/29;2022/11/30;Shelly;Smart Switch;"Shelly
Smart Home
Wifi
Works with Alexa
Works with Google Home";499;499;Default Title;499;599;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Shelly2.5.png?v=1627542779;;;;;;;;;;Title (Default Title);;
shelly-dimmer;SHELLY Dimmer;"Dimming without a neutral line. We developed Shelly Dimmer 2 to be able to cover all possible electrical installations all over the world. Shelly Dimmer 2 can be used in houses where the neutral line is missing and provides a full set of dimming functionalities.

Automatically follow the sunrise /sunset and control your lighting accordingly. Shelly Dimmer 2 will gradually amplify lights in the morning and decrease them as night-time gets closer. No more blinding during dark hours.

Depending on your activities and time of day, you need different types of light and luminosity. With Shelly Dimmer 2, you can adjust the brightness according to your preference and set an appropriate light level best for reading, watching TV, having dinner etc.

Intelligently designed to fit in most standard electrical boxes and switches. Shelly Dimmer 2 is as big as two small cookies stacked together and offering an array of dimming functionalities.

Features:



Power supply:
- 110-240V ±10% 50/60Hz AC






Operational current:
- 0.1 - 1.1A






Device temperature protection:
- 105°C






Complies with EU standards:
- RE Directive 2014/53/EU



- LVD 2014/35/EU



- EMC 2004/108/WE



- RoHS2 2011/65/UE






Working temperature:
- From 0°C to 35°C






Radio signal power:
- 1mW






Radio protocol:
- Wi-Fi 802.11 b/g/n






Frequency:
- 2400 – 2500 MHz






Operational range (depending on local construction):
- Up to 50 m outdoors



- Up to 30 m indoors






Dimensions (HxWxL):
– 42 x 36 x 14 mm






Electrical consumption:
– < 1,5 W






Supported light types:
– Incandescent and halogen light sources: 1-220W



– Dimmable LED : 50- 200VA / 1W – 200W



– Resistive-inductive loads ferromagnetic transformers: 50- 150VA



Benefits:



Wireless - No HUB required – Connect Shelly Dimmer 2 directly to your Wi-Fi at home.

Control remotely - Control the lighting at home, no matter where you are. No more lights left on or coming home in darkness.

Highly compatible - Compatible with Android, iOS, Amazon Alexa and Google Assistant. Control your appliance with your voice.

Wide range of voltage support - Shelly Dimmer 2 can be used with a variety of light bulbs.

Sunrise/Sunset schedules - Automatically follow the sunrise and sunset and control your lighting accordingly.

Weekly schedules - Choose a time and set your lighting to turn on/off.

Overheating protection - Internal temperature sensor for overheating protection.

ON/OFF and dimming function - Turn ON/OFF or use the dimming function to set your lights to your preference.

";2021/07/29;2022/12/19;Shelly;Smart Switch;"Dimmer
Shelly
Smart Home
Wifi
Works with Alexa
Works with Google Home";629;629;Default Title;629;699;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Shellydim.png?v=1627542029;;;;;;;;;;Title (Default Title);;
l2-smart-led-light-strip-kit-5m;L2 Smart LED Light Strip kit 5M;"?Diverse Selection Methods?Color palette, color circle, recent and classic color, various selecting ways for color changing. Enjoy the endless variations and real-time synchronization, more than 16 million colors.?Diverse Modes?21 recommended scene modes and up to 8 DIY scenes, define your own scene to better adapt your surrounding.?Work With The Sensor?Customize the scene and create an atmosphere when you at home.?On/Off on Schedule?Instead of controlling by remote controller and App, set a schedule to automatically control the light strips.?IP65 Waterproof?High flexibility, feel free to cut and stick with ease.?Note?You can connect an extra 5050RGB LED light strip to extend SONOFF L2 up to 10m. But make sure you add a power adapter and a LED signal amplifier after every 5M light strip.















 

More Information


Product Type
Wi-Fi Smart Lighting


Power Supply
100-240V AC


Wireless Connectivity
Wi-Fi IEEE 802.11b/g/n 2.4GHz


Works With
Amazon Alexa, Google Assistant, IFTTT


DIY Mode
No


";2021/07/28;2022/12/19;Sonoff;LED Driver;"Ewelink
IR
LED
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home";699;699;Default Title;699;999;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/L25M.jpg?v=1627493465;;;;;;;;;;Title (Default Title);;
usa-to-european-south-african-power-plug-converter-2-round-pin-plug;USA To South African Power Plug Converter (3 Round-Pin Plug);USA To South African Power Plug Converter (3 Round-Pin Plug);2019/10/04;2022/12/19;E7Win;Adapter;Accessory;25;25;Default Title;25;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Untitled_aa621c2f-2c72-41f3-9dbe-eb58c42e1c48.jpg?v=1570180834;;;;;;;;;;Title (Default Title);;
ezviz-c8c-outdoor-pan-tilt-camera-1080p-2-8mm;EZViz – C8C Outdoor Pan/Tilt Camera (1080p 2.8mm);"Colour Night Vision1920 × 1080Support dual-streamAI Powered Human Detection1/2.7”Progressive Scan CMOSDigital WDR3D DNR2.8mm@ F2.24mm @ F1.6, view angle: 87° (Horizontal), 105° (Diagonal)6mm @ F1.6, view angle:55° (Horizontal), 66° (Diagonal)Pan: 352°, Tilt: 95°Connected by WIFI 2.4GHz ~ 2.4835 GHz or through RJ45 Ethernet PortAdaptive rate of 10/100MSupport MicroSD card up to 256G
 
Datasheet";2021/07/25;2022/12/19;EzViz;Camera;"Camera
Outdoor
Smart Home
Wifi
Works with Alexa
Works with Google Home";1899;1899;Default Title;1899;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/c8c.png?v=1627197820;;;;;;;;;;Title (Default Title);;
high-quality-usb-2-0-extension-cable-type-a-male-to-female-blue-5-m;High Quality USB 2.0 Extension Cable Type A Male to Female Blue - 5 m;"



10M Male to Female USB Extension Cable 2.0 Extender Cord









Product Name


USB Extension Cable




Material


Copper Wire




OD size


5.0MM




Length


10M




Function


Data transmission and Extender




Package


Bag




";2021/07/06;2022/09/27;E7Win;Electrononics;"Accessory
Electronics DIY";149;149;Default Title;149;199;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/10m_818071b9-54c4-4723-9af1-f45164d57a00.png?v=1625585815;;;;;;;;;;Title (Default Title);;
l1-smart-led-light-strip-2m-only;L1 Smart LED Light Strip 2M only;;2021/07/06;2022/12/19;Sonoff;LED Driver;"Ewelink
IR
LED
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home";179;179;Default Title;179;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Untitled_e91371b9-a286-4751-8640-c47132766bdc.png?v=1625584068;;;;;;;;;;Title (Default Title);;
